Material,Intervention,DiD Estimate (δ),Std Error,P-value,Significant,95% CI Lower,95% CI Upper
Paper,Shaped Openings (Phase 2),-2.5233766229625663,1.2440649006882318,0.04766270233168806,✅ Yes,-5.019775481217993,-0.026977764707139862
Paper,Banners (Phase 3),1.2187950937272802,1.0216290370646899,0.23990109137581095,❌ No,-0.84599421110646,3.2835843985610205
Plastic,Shaped Openings (Phase 2),-0.13870477497326217,5.08092022052512,0.9783256393571325,❌ No,-10.33431710226332,10.056907552316797
Plastic,Banners (Phase 3),9.238532085454557,4.314695223746927,0.03840530485769354,✅ Yes,0.5182077520676227,17.958856418841492
Cans,Shaped Openings (Phase 2),-15.024420890989306,5.336627748821477,0.006866971867838059,✅ Yes,-25.73314791296547,-4.315693869013142
Cans,Banners (Phase 3),7.781301246181842,5.147324937203006,0.13846667107843055,❌ No,-2.6218305103089374,18.18443300267262
